x,y,z,d
87,65,82,76.985374
51,92,56,49.0849
64,83,70,59.11603
63,27,74,74.87277
95,26,2,144.57224
53,25,19,114.95615
10,33,65,15.130791
15,36,78,19.186121
70,12,19,139.82166
11,32,35,25.294899
20,28,53,35.74161
96,37,7,132.83372
68,9,43,110.66656
43,55,39,63.00852
19,7,6,124.09295
15,45,36,28.260826
51,36,16,101.32844
88,88,54,78.34156
53,21,24,114.20065
12,65,85,12.395305
27,36,15,67.200386
48,67,53,56.81659
59,30,84,64.86087
98,8,43,127.73695
20,22,24,61.12972
35,22,28,86.20046
74,82,67,67.697586
60,9,78,72.41957
87,75,63,80.60831
86,42,31,113.783165
43,19,77,55.140793
49,3,24,123.41696
99,62,42,102.46212
31,41,58,45.67375
81,85,81,67.02708
59,7,71,76.688644
69,78,44,72.86209
61,78,59,61.896404
23,17,95,25.966736
73,20,6,143.37242
74,90,23,74.659966
25,88,22,29.848602
29,9,13,118.884125
86,60,94,72.91247
38,24,30,86.55102
92,91,90,69.17512
6,65,7,10.157624
68,14,51,100.96779
35,17,44,70.84477
73,20,36,117.3191
16,9,17,76.981026
23,64,6,38.1358
80,63,74,76.43974
29,72,44,36.741215
70,55,13,98.94986
22,0,39,56.997604
8,64,48,11.062129
79,74,38,84.30553
12,4,54,24.204319
75,38,59,90.8528
14,89,67,13.8759165
41,5,31,101.78215
3,78,8,4.244556
84,30,53,104.710434
43,14,5,137.32825
23,34,10,63.882545
19,66,84,19.536337
34,84,20,41.633106
74,22,5,141.4542
62,82,62,60.23469
17,63,88,17.292969
52,43,5,97.27738
72,66,95,61.794125
38,86,56,39.35996
67,5,84,74.631325
79,10,67,95.66567
58,41,74,66.70255
10,56,52,14.441415
9,42,20,21.209438
46,23,21,108.264145
24,89,1,29.232536
88,44,69,91.19662
88,68,6,101.111145
7,78,82,6.856426
95,14,40,127.75532
97,49,5,122.18273
4,87,54,4.333605
61,29,56,85.32112
58,62,4,83.353615
76,61,60,80.60839
45,32,1,105.68938
16,95,87,13.7157755
0,92,89,0.00006103019
14,64,31,21.574196
51,99,18,52.066216
60,10,23,130.36414
6,27,2,24.201277
7,35,96,7.5917015
12,98,82,10.392925
63,53,58,75.01275
