x,y,z,d
0,0,0,1632.951718
0,0,1,2492.546369
0,0,2,2834.484956
0,0,3,2972.518999
0,0,4,3031.926497
0,0,5,3048.949703
0,0,6,3031.926497
0,0,7,2972.518999
0,0,8,2834.484956
0,0,9,2492.546369
0,0,10,1632.951718
0,1,0,1122.63126
0,1,1,1593.649955
0,1,2,1845.385872
0,1,3,1963.582929
0,1,4,2017.382012
0,1,5,2033.102289
0,1,6,2017.382012
0,1,7,1963.582929
0,1,8,1845.385872
0,1,9,1593.649955
0,1,10,1122.63126
0,2,0,670.5508432
0,2,1,867.6250158
0,2,2,1006.699239
0,2,3,1088.063295
0,2,4,1129.385495
0,2,5,1141.996418
0,2,6,1129.385495
0,2,7,1088.063295
0,2,8,1006.699239
0,2,9,867.6250158
0,2,10,670.5508432
0,3,0,443.8623656
0,3,1,540.2733465
0,3,2,617.1872796
0,3,3,668.8742278
0,3,4,697.6656374
0,3,5,706.8371035
0,3,6,697.6656374
0,3,7,668.8742278
0,3,8,617.1872796
0,3,9,540.2733465
0,3,10,443.8623656
0,4,0,317.5984948
0,4,1,371.2870043
0,4,2,416.3530846
0,4,3,448.9173855
0,4,4,468.1554054
0,4,5,474.4754287
0,4,6,468.1554054
0,4,7,448.9173855
0,4,8,416.3530846
0,4,9,371.2870043
0,4,10,317.5984948
0,5,0,239.2964004
0,5,1,271.8908552
0,5,2,299.7876759
0,5,3,320.6668115
0,5,4,333.4108533
0,5,5,337.6762567
0,5,6,333.4108533
0,5,7,320.6668115
0,5,8,299.7876759
0,5,9,271.8908552
0,5,10,239.2964004
0,6,0,186.9196842
0,6,1,207.9202305
0,6,2,225.9813591
0,6,3,239.7066572
0,6,4,248.2214548
0,6,5,251.0998468
0,6,6,248.2214548
0,6,7,239.7066572
0,6,8,225.9813591
0,6,9,207.9202305
0,6,10,186.9196842
0,7,0,149.9634107
0,7,1,164.0953219
0,7,2,176.223152
0,7,3,185.484027
0,7,4,191.2686856
0,7,5,193.2331848
0,7,6,191.2686856
0,7,7,185.484027
0,7,8,176.223152
0,7,9,164.0953219
0,7,10,149.9634107
0,8,0,122.84654
